,Total,Total Owned Units with a Mortgage,Total Owned Units with a Mortgage (30-49%),Total Owned Units with a Mortgage (50%+),Total Owned Units with a Mortgage (Not Calculated),Total Owned Units without a Mortgage,Total Owned Units without a Mortgage (30-49%),Total Owned Units without a Mortgage (50%+),Total Owned Units without a Mortgage (Not Calculated),Total Rented,Total Rented (30-49%),Total Rented (50%+),Total Rented (Not Calculated)
    Estimate,"1,781",733,188,66,0,551,83,51,0,497,122,69,0
    Margin of Error,±168,±116,±98,±52,±12,±127,±42,±35,±12,±171,±68,±51,±12
Census Tract 8202.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,323",508,178,62,3,578,177,97,13,237,112,10,10
    Margin of Error,±191,±80,±65,±34,±4,±163,±55,±43,±17,±82,±69,±9,±14
Census Tract 8202.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,341",820,228,142,0,506,79,65,0,15,0,0,15
    Margin of Error,±98,±116,±98,±77,±12,±103,±55,±51,±12,±23,±12,±12,±23
Census Tract 8202.04; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,347",955,399,202,5,"1,097",124,66,19,295,149,53,32
    Margin of Error,±346,±201,±178,±125,±17,±349,±97,±70,±32,±91,±73,±51,±55
Census Tract 8203; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,775",608,216,121,0,481,99,55,0,686,316,98,0
    Margin of Error,±197,±139,±104,±80,±17,±145,±58,±36,±17,±157,±143,±84,±17
Census Tract 8204; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,842",370,232,157,0,770,159,92,0,702,412,175,30
    Margin of Error,±218,±142,±117,±108,±12,±204,±82,±68,±12,±218,±193,±103,±47
Census Tract 8205.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,965",713,318,142,0,692,96,33,2,560,235,85,18
    Margin of Error,±259,±181,±143,±119,±17,±157,±75,±38,±4,±242,±126,±113,±26
Census Tract 8205.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,156",849,352,70,0,605,80,42,9,702,422,162,70
    Margin of Error,±270,±198,±175,±56,±17,±170,±80,±65,±14,±224,±215,±85,±80
Census Tract 8206.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,980",740,318,203,32,810,286,213,33,430,158,78,14
    Margin of Error,±260,±209,±117,±108,±51,±181,±118,±111,±38,±145,±93,±69,±22
Census Tract 8206.04; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,374",337,99,50,0,258,118,46,0,779,412,277,26
    Margin of Error,±187,±114,±62,±40,±12,±102,±76,±40,±12,±193,±177,±158,±38
Census Tract 8206.05; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,007",279,51,45,0,159,11,11,0,"1,569",637,391,34
    Margin of Error,±195,±98,±44,±44,±17,±80,±18,±18,±17,±207,±197,±184,±41
Census Tract 8206.06; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,724",902,197,71,23,392,110,54,0,430,216,115,44
    Margin of Error,±167,±176,±84,±46,±25,±100,±66,±54,±12,±155,±107,±75,±56
Census Tract 8207; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,625","1,333",542,422,0,846,340,155,33,446,178,178,0
    Margin of Error,±302,±259,±217,±233,±17,±254,±205,±120,±57,±201,±147,±147,±17
Census Tract 8208; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,047",508,143,27,8,391,31,13,5,148,56,23,7
    Margin of Error,±140,±91,±54,±32,±11,±90,±20,±10,±7,±93,±41,±32,±13
Census Tract 8209.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,749",793,296,112,0,472,140,87,0,484,255,168,4
    Margin of Error,±163,±153,±123,±80,±17,±146,±118,±110,±17,±137,±115,±97,±8
Census Tract 8209.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,809",987,167,46,7,629,79,36,0,193,147,40,11
    Margin of Error,±306,±302,±86,±53,±11,±192,±44,±31,±17,±120,±113,±30,±13
Census Tract 8210.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,721",685,320,128,0,366,89,73,8,670,342,96,52
    Margin of Error,±195,±189,±146,±67,±17,±108,±64,±59,±12,±127,±125,±66,±56
Census Tract 8210.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,863",830,343,88,0,744,186,154,12,289,37,25,21
    Margin of Error,±216,±226,±205,±63,±12,±192,±135,±133,±19,±120,±35,±30,±33
Census Tract 8211.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,473",618,247,133,0,594,124,80,0,261,82,82,68
    Margin of Error,±135,±142,±84,±76,±12,±137,±72,±58,±12,±121,±89,±89,±66
Census Tract 8211.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,547",880,221,101,0,446,94,15,0,221,47,47,21
    Margin of Error,±222,±224,±101,±65,±12,±151,±62,±16,±12,±89,±50,±50,±25
Census Tract 8212; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,383",721,273,110,0,477,167,31,0,"1,185",573,233,68
    Margin of Error,±330,±183,±145,±132,±17,±251,±124,±50,±17,±307,±258,±166,±80
Census Tract 8213; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,430",289,41,0,0,586,120,47,0,"1,555",805,442,23
    Margin of Error,±305,±131,±52,±17,±17,±187,±89,±46,±17,±256,±264,±225,±38
Census Tract 8214.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,967,431,197,121,3,132,8,8,20,404,232,166,28
    Margin of Error,±221,±139,±112,±91,±7,±58,±13,±13,±23,±149,±108,±94,±32
Census Tract 8214.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,228",466,114,10,0,236,39,39,0,526,158,141,0
    Margin of Error,±169,±145,±73,±16,±12,±116,±46,±46,±12,±151,±92,±89,±12
Census Tract 8215; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,540,67,56,27,0,66,32,20,0,407,250,158,24
    Margin of Error,±99,±38,±36,±30,±12,±31,±24,±22,±12,±81,±67,±61,±31
Census Tract 8216; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,769",994,400,118,0,437,79,45,0,338,43,43,46
    Margin of Error,±220,±232,±198,±81,±12,±133,±54,±45,±12,±177,±50,±50,±71
Census Tract 8217; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,773",843,165,51,0,616,35,26,9,314,253,172,12
    Margin of Error,±159,±162,±83,±37,±12,±157,±29,±25,±14,±144,±130,±131,±18
Census Tract 8218; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,004",978,290,176,0,632,101,101,0,394,122,78,14
    Margin of Error,±226,±231,±168,±155,±17,±159,±110,±110,±17,±152,±84,±75,±22
Census Tract 8219; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,782","1,063",381,162,13,546,103,50,0,173,87,0,34
    Margin of Error,±134,±168,±132,±93,±18,±133,±62,±38,±17,±89,±73,±17,±34
Census Tract 8220; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,916",870,293,101,0,523,103,17,26,523,116,65,55
    Margin of Error,±213,±195,±104,±67,±12,±164,±81,±20,±29,±184,±74,±46,±60
Census Tract 8221.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,546",808,190,64,0,484,118,86,0,254,216,120,0
    Margin of Error,±194,±146,±86,±48,±12,±124,±77,±65,±12,±138,±136,±98,±12
Census Tract 8221.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,917","1,110",400,248,0,497,120,113,19,310,200,68,0
    Margin of Error,±217,±255,±243,±219,±12,±149,±87,±89,±31,±174,±149,±109,±12
Census Tract 8222; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,318",694,235,123,0,461,108,66,0,163,90,45,9
    Margin of Error,±144,±153,±100,±76,±12,±125,±69,±62,±12,±89,±76,±42,±12
Census Tract 8223.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,190",662,167,58,0,458,78,54,0,70,23,15,12
    Margin of Error,±116,±113,±93,±42,±12,±118,±54,±40,±12,±58,±25,±22,±21
Census Tract 8223.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,653",731,240,46,22,643,141,56,0,279,27,0,25
    Margin of Error,±231,±138,±84,±39,±33,±178,±110,±61,±12,±187,±32,±12,±29
Census Tract 8224; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,994",696,284,34,11,869,217,15,56,429,285,114,23
    Margin of Error,±200,±164,±128,±40,±19,±231,±130,±24,±53,±149,±144,±92,±36
Census Tract 8225; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,685",807,196,36,22,582,154,145,0,296,93,29,13
    Margin of Error,±169,±145,±97,±35,±33,±202,±123,±118,±12,±120,±69,±36,±16
Census Tract 8226.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,549",923,256,128,0,555,112,64,0,71,23,12,0
    Margin of Error,±112,±157,±94,±75,±12,±104,±68,±56,±12,±52,±27,±20,±12
Census Tract 8226.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,205","1,543",585,472,21,792,123,13,11,870,295,248,191
    Margin of Error,±451,±487,±436,±423,±34,±213,±71,±19,±17,±233,±142,±142,±170
Census Tract 8227.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,910",981,231,160,0,450,81,49,0,479,280,246,49
    Margin of Error,±240,±194,±112,±102,±12,±142,±51,±35,±12,±233,±136,±130,±52
Census Tract 8227.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,495",576,193,70,0,523,97,33,0,396,273,46,0
    Margin of Error,±144,±110,±94,±57,±12,±149,±62,±29,±12,±128,±114,±39,±12
Census Tract 8228.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,428",756,61,0,0,434,45,0,0,238,115,28,34
    Margin of Error,±185,±178,±39,±12,±12,±129,±32,±12,±12,±109,±64,±23,±46
Census Tract 8228.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,291",737,183,70,0,469,77,20,0,85,17,6,0
    Margin of Error,±174,±193,±100,±73,±12,±129,±45,±22,±12,±60,±20,±9,±12
Census Tract 8229; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,770,293,107,66,0,292,0,0,0,185,98,49,6
    Margin of Error,±166,±69,±47,±40,±12,±153,±12,±12,±12,±59,±54,±36,±10
Census Tract 8230.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,683",784,141,43,0,532,98,98,17,"1,367",420,174,61
    Margin of Error,±288,±293,±92,±49,±17,±222,±126,±126,±28,±337,±170,±107,±82
Census Tract 8230.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,959",684,137,71,0,535,46,0,14,740,260,89,0
    Margin of Error,±259,±207,±108,±64,±12,±177,±49,±12,±24,±204,±149,±79,±12
Census Tract 8231.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,649",857,423,231,11,318,27,0,0,474,248,80,0
    Margin of Error,±215,±165,±111,±87,±18,±124,±27,±12,±12,±150,±107,±69,±12
Census Tract 8231.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,518",560,197,61,0,394,91,53,15,564,322,234,31
    Margin of Error,±179,±171,±139,±53,±12,±113,±67,±59,±23,±183,±198,±198,±43
Census Tract 8232; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,811","1,011",297,108,0,603,109,91,0,197,97,56,31
    Margin of Error,±185,±189,±136,±76,±12,±127,±44,±41,±12,±90,±70,±59,±45
Census Tract 8233.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,598","1,064",263,156,0,427,50,50,0,"1,107",402,357,156
    Margin of Error,±391,±242,±173,±155,±17,±310,±80,±80,±17,±235,±195,±191,±119
Census Tract 8233.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,705",769,177,127,23,420,71,17,11,516,303,133,32
    Margin of Error,±202,±134,±86,±76,±34,±129,±78,±26,±17,±186,±169,±111,±53
Census Tract 8233.04; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,570","1,036",331,118,15,555,138,97,5,979,491,216,110
    Margin of Error,±280,±222,±151,±93,±26,±130,±65,±61,±7,±233,±202,±136,±149
Census Tract 8234; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,807",847,153,30,11,319,64,57,0,641,314,145,101
    Margin of Error,±252,±203,±97,±43,±19,±130,±66,±65,±17,±178,±145,±112,±104
Census Tract 8235; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,448",446,93,32,9,385,21,10,35,617,104,58,23
    Margin of Error,±191,±126,±57,±37,±16,±144,±18,±12,±49,±177,±72,±44,±36
Census Tract 8236.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,738","1,278",263,103,0,973,101,53,0,487,54,26,221
    Margin of Error,±382,±271,±107,±69,±17,±319,±85,±55,±17,±240,±45,±31,±206
Census Tract 8236.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,502,149,51,7,0,176,53,53,0,177,82,77,12
    Margin of Error,±73,±58,±47,±10,±12,±48,±42,±42,±12,±76,±53,±53,±18
Census Tract 8236.04; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,233",787,260,131,0,424,95,31,0,22,0,0,12
    Margin of Error,±158,±137,±103,±79,±12,±109,±48,±26,±12,±21,±12,±12,±13
Census Tract 8236.05; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,511",764,175,86,0,479,93,27,21,268,96,96,0
    Margin of Error,±163,±156,±71,±53,±12,±131,±48,±26,±23,±102,±61,±61,±12
Census Tract 8237.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,644",910,186,68,0,466,76,11,0,"1,268",519,298,134
    Margin of Error,±397,±214,±111,±66,±17,±190,±73,±26,±17,±339,±205,±167,±100
Census Tract 8237.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,222",972,118,44,0,"1,142",287,120,41,"1,108",450,294,218
    Margin of Error,±384,±271,±87,±48,±17,±288,±143,±79,±49,±286,±229,±186,±272
Census Tract 8237.04; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,506",840,260,182,10,579,121,75,9,87,27,8,33
    Margin of Error,±223,±171,±121,±116,±15,±175,±65,±51,±14,±52,±27,±13,±37
Census Tract 8237.05; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,717",693,256,91,16,503,68,22,62,521,229,93,29
    Margin of Error,±175,±173,±104,±84,±25,±167,±56,±26,±71,±131,±109,±62,±33
Census Tract 8238.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,143",839,157,89,24,975,197,157,0,329,234,216,23
    Margin of Error,±234,±241,±84,±70,±29,±254,±120,±99,±17,±155,±130,±132,±39
Census Tract 8238.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,608","1,571",529,144,0,859,202,63,16,178,79,0,0
    Margin of Error,±312,±310,±250,±99,±17,±184,±125,±66,±27,±135,±76,±17,±17
Census Tract 8238.05; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,404",929,269,94,0,388,58,18,7,87,23,15,8
    Margin of Error,±201,±198,±140,±102,±12,±133,±54,±20,±11,±52,±25,±17,±13
Census Tract 8238.06; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,791",709,231,38,14,480,65,53,0,602,234,115,6
    Margin of Error,±253,±252,±133,±37,±21,±124,±53,±54,±12,±152,±114,±80,±13
Census Tract 8239.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,646",849,340,180,0,763,197,60,0,34,0,0,12
    Margin of Error,±220,±145,±154,±124,±12,±177,±83,±39,±12,±43,±12,±12,±20
Census Tract 8239.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,704",737,146,94,0,894,149,112,0,73,29,29,0
    Margin of Error,±205,±138,±61,±51,±12,±205,±68,±64,±12,±62,±34,±34,±12
Census Tract 8239.04; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,650",787,203,75,0,738,208,123,0,125,29,9,25
    Margin of Error,±157,±132,±90,±44,±12,±152,±81,±69,±12,±96,±27,±15,±23
Census Tract 8240.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,119",860,186,127,0,"1,028",122,16,0,231,39,0,49
    Margin of Error,±167,±201,±98,±90,±17,±217,±104,±26,±17,±137,±34,±17,±78
Census Tract 8240.04; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,978",775,146,17,0,564,110,57,0,639,322,125,64
    Margin of Error,±222,±172,±113,±27,±12,±161,±74,±55,±12,±188,±183,±90,±75
Census Tract 8240.05; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,017","1,092",164,57,0,772,107,35,31,153,28,0,18
    Margin of Error,±223,±212,±98,±52,±17,±152,±78,±41,±33,±103,±28,±17,±28
Census Tract 8240.06; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,954","1,091",412,102,13,800,151,72,30,63,31,11,24
    Margin of Error,±163,±194,±158,±58,±21,±169,±72,±47,±41,±38,±31,±17,±32
Census Tract 8241.05; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,880","1,371",233,95,0,"1,159",294,71,16,350,292,0,0
    Margin of Error,±480,±280,±120,±94,±17,±287,±160,±64,±24,±378,±374,±17,±17
Census Tract 8241.06; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,466","1,114",262,164,0,"1,078",309,281,0,274,166,67,0
    Margin of Error,±274,±205,±129,±101,±17,±311,±251,±248,±17,±144,±112,±66,±17
Census Tract 8241.07; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,754","1,406",482,172,0,"1,062",206,96,0,286,126,38,79
    Margin of Error,±280,±287,±224,±84,±17,±209,±112,±99,±17,±147,±115,±59,±65
Census Tract 8241.13; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,374","1,193",441,280,0,"1,092",78,38,0,89,0,0,17
    Margin of Error,±336,±210,±158,±128,±17,±367,±56,±42,±17,±92,±17,±17,±34
Census Tract 8241.14; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,943","1,255",426,252,0,643,96,66,0,45,0,0,0
    Margin of Error,±185,±190,±125,±110,±17,±138,±61,±54,±17,±37,±17,±17,±17
Census Tract 8241.15; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,556",580,120,78,0,734,178,18,6,242,85,13,14
    Margin of Error,±229,±108,±61,±56,±12,±221,±177,±21,±9,±86,±62,±19,±21
Census Tract 8241.16; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,276",750,282,91,0,458,27,14,0,"1,068",378,212,21
    Margin of Error,±233,±183,±143,±71,±17,±208,±30,±21,±17,±209,±136,±111,±23
Census Tract 8241.19; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,247","1,096",298,88,19,"1,004",244,203,18,147,27,27,55
    Margin of Error,±266,±203,±127,±70,±32,±296,±201,±196,±31,±160,±46,±46,±63
Census Tract 8241.21; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,309",685,216,97,11,511,111,71,11,113,29,25,0
    Margin of Error,±141,±152,±97,±64,±17,±132,±94,±70,±16,±80,±41,±40,±12
Census Tract 8241.22; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,302","1,300",346,115,0,940,101,101,0,62,0,0,49
    Margin of Error,±227,±208,±152,±97,±17,±251,±74,±74,±17,±64,±17,±17,±59
Census Tract 8241.23; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,847","1,727",469,62,0,724,21,0,0,396,102,11,63
    Margin of Error,±224,±269,±195,±61,±17,±160,±22,±17,±17,±196,±106,±20,±93
Census Tract 8241.24; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,257",533,153,94,0,229,65,42,0,495,230,52,0
    Margin of Error,±150,±122,±81,±58,±12,±80,±60,±51,±12,±99,±122,±51,±12
Census Tract 8241.25; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,473","1,021",232,59,0,351,108,12,0,101,33,33,22
    Margin of Error,±161,±172,±161,±53,±12,±132,±111,±14,±12,±67,±40,±40,±36
Census Tract 8241.26; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,992","1,365",343,154,0,627,24,12,0,0,0,0,0
    Margin of Error,±285,±304,±159,±112,±17,±189,±27,±19,±17,±17,±17,±17,±17
Census Tract 8241.27; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,427",647,147,79,0,769,186,57,0,11,11,0,0
    Margin of Error,±236,±104,±78,±51,±12,±239,±139,±48,±12,±19,±19,±12,±12
Census Tract 8241.28; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,717","1,081",386,241,0,532,132,76,7,104,42,42,0
    Margin of Error,±212,±216,±165,±171,±12,±145,±90,±71,±12,±79,±57,±57,±12
Census Tract 8241.29; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,679",902,315,111,0,693,101,23,0,84,61,36,5
    Margin of Error,±129,±155,±141,±72,±12,±169,±58,±20,±12,±55,±52,±40,±10
Census Tract 8243; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,550",457,167,149,0,550,211,121,0,543,214,120,62
    Margin of Error,±209,±193,±124,±126,±17,±174,±159,±100,±17,±220,±154,±108,±65
Census Tract 8244; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,748,289,159,108,0,181,4,0,0,278,202,131,0
    Margin of Error,±155,±142,±141,±133,±12,±66,±7,±12,±12,±75,±71,±64,±12
Census Tract 8245.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,952","1,387",461,247,0,"1,087",163,55,9,478,172,151,119
    Margin of Error,±243,±324,±202,±153,±17,±260,±102,±66,±15,±208,±143,±135,±118
Census Tract 8245.05; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,417","1,369",482,149,0,537,43,0,0,511,219,164,23
    Margin of Error,±283,±300,±266,±140,±17,±171,±67,±17,±17,±174,±147,±134,±39
Census Tract 8245.07; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,687",988,236,78,0,299,44,18,0,400,282,168,0
    Margin of Error,±323,±293,±104,±55,±12,±93,±26,±21,±12,±137,±126,±129,±12
Census Tract 8245.08; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,626",888,294,142,0,359,27,10,0,379,248,117,10
    Margin of Error,±205,±199,±109,±76,±12,±120,±24,±16,±12,±170,±167,±97,±17
Census Tract 8245.09; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,492",898,100,0,0,486,69,25,0,108,64,20,0
    Margin of Error,±208,±222,±70,±12,±12,±168,±65,±42,±12,±93,±69,±33,±12
Census Tract 8246.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,710","1,128",409,178,0,480,57,21,0,102,41,41,10
    Margin of Error,±177,±154,±129,±80,±12,±153,±41,±17,±12,±63,±39,±39,±16
Census Tract 8246.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,565","1,125",325,166,0,789,69,16,0,651,299,28,34
    Margin of Error,±297,±322,±149,±126,±17,±303,±61,±26,±17,±246,±169,±51,±39
Census Tract 8247.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,458",573,102,65,0,300,65,23,30,585,519,336,0
    Margin of Error,±299,±147,±60,±53,±12,±94,±39,±25,±45,±278,±279,±266,±12
Census Tract 8247.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,445","1,194",251,172,0,753,284,242,0,498,399,250,15
    Margin of Error,±358,±297,±145,±126,±17,±325,±293,±292,±17,±118,±113,±87,±25
Census Tract 8248; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,065",875,214,114,0,548,61,49,32,642,214,120,68
    Margin of Error,±401,±312,±169,±94,±17,±202,±81,±80,±52,±247,±167,±113,±103
Census Tract 8249; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,092",425,169,150,0,511,141,21,0,156,136,49,8
    Margin of Error,±143,±156,±98,±108,±12,±143,±84,±36,±12,±75,±74,±58,±14
Census Tract 8250; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,891",750,183,128,0,357,50,18,0,784,302,53,94
    Margin of Error,±190,±173,±90,±78,±12,±99,±40,±21,±12,±171,±152,±70,±104
Census Tract 8252; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,721,380,160,69,6,265,53,29,9,76,39,24,8
    Margin of Error,±116,±96,±88,±49,±10,±74,±40,±25,±12,±45,±37,±32,±12
Census Tract 8253.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,034","1,215",272,51,0,487,92,42,0,332,63,52,89
    Margin of Error,±213,±229,±139,±52,±17,±185,±63,±46,±17,±142,±48,±41,±121
Census Tract 8253.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,666",666,89,24,10,309,97,17,0,691,323,233,24
    Margin of Error,±205,±185,±64,±19,±16,±99,±64,±19,±12,±175,±110,±93,±36
Census Tract 8253.04; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,629",852,147,56,0,543,50,37,0,234,59,18,56
    Margin of Error,±137,±185,±55,±39,±12,±125,±39,±34,±12,±75,±44,±21,±42
Census Tract 8254; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,463","1,135",213,147,8,856,147,16,10,472,290,188,15
    Margin of Error,±295,±185,±101,±91,±15,±321,±193,±26,±16,±193,±166,±128,±23
Census Tract 8255.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,654",875,251,70,14,203,13,0,0,576,401,212,20
    Margin of Error,±279,±240,±120,±68,±24,±108,±23,±17,±17,±198,±162,±115,±32
Census Tract 8255.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,553","1,156",503,205,21,"1,058",22,22,298,339,134,94,59
    Margin of Error,±441,±293,±213,±141,±34,±448,±35,±35,±415,±180,±124,±116,±71
Census Tract 8255.04; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,206",662,274,188,0,137,81,11,0,407,154,26,0
    Margin of Error,±289,±161,±138,±127,±12,±96,±81,±16,±12,±294,±110,±32,±12
Census Tract 8255.05; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,594",909,355,204,0,368,19,9,0,317,182,137,51
    Margin of Error,±193,±189,±143,±109,±17,±114,±21,±14,±17,±117,±92,±78,±74
Census Tract 8256; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,672",718,248,147,0,478,104,62,0,476,347,166,11
    Margin of Error,±206,±229,±141,±113,±17,±181,±90,±64,±17,±189,±177,±123,±21
Census Tract 8257; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,476",538,116,50,0,348,102,62,21,590,291,108,39
    Margin of Error,±177,±234,±56,±39,±12,±98,±55,±47,±30,±142,±145,±72,±34
Census Tract 8258.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,596",212,87,17,28,386,90,79,16,998,657,476,0
    Margin of Error,±278,±136,±83,±28,±46,±142,±61,±60,±24,±255,±248,±238,±12
Census Tract 8258.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,344",756,294,127,18,904,131,131,26,684,351,191,129
    Margin of Error,±313,±249,±200,±136,±30,±332,±127,±127,±42,±241,±210,±163,±140
Census Tract 8258.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,625","1,080",325,77,0,212,45,19,0,"1,333",639,298,0
    Margin of Error,±269,±284,±154,±59,±17,±116,±46,±26,±17,±295,±284,±183,±17
Census Tract 8259; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,017",417,217,61,9,250,23,23,10,350,222,165,45
