,Total,Total Owned Units with a Mortgage,Total Owned Units with a Mortgage (30-49%),Total Owned Units with a Mortgage (50%+),Total Owned Units with a Mortgage (Not Calculated),Total Owned Units without a Mortgage,Total Owned Units without a Mortgage (30-49%),Total Owned Units without a Mortgage (50%+),Total Owned Units without a Mortgage (Not Calculated),Total Rented,Total Rented (30-49%),Total Rented (50%+),Total Rented (Not Calculated)
Census Tract 602; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,196",321,58,18,0,133,57,46,0,742,261,112,0
    Margin of Error,±135,±127,±37,±24,±12,±74,±62,±59,±12,±93,±91,±65,±12
Census Tract 603; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,217",370,70,30,0,145,60,19,0,702,86,52,49
    Margin of Error,±143,±86,±47,±37,±12,±51,±38,±20,±12,±153,±56,±50,±57
Census Tract 604; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,560",712,103,36,0,49,10,10,0,799,267,125,53
    Margin of Error,±194,±188,±58,±42,±12,±27,±17,±17,±12,±184,±128,±91,±86
Census Tract 605; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,679,129,0,0,0,42,0,0,0,508,120,79,47
    Margin of Error,±84,±43,±12,±12,±12,±23,±12,±12,±12,±81,±53,±45,±40
Census Tract 608; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,686","1,150",243,107,0,450,158,64,0,"2,086",628,320,172
    Margin of Error,±373,±320,±118,±82,±17,±179,±111,±75,±17,±328,±240,±153,±138
Census Tract 609; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"4,886","1,508",497,75,0,928,161,120,0,"2,450",946,392,57
    Margin of Error,±496,±437,±273,±78,±17,±419,±113,±102,±17,±452,±345,±216,±66
Census Tract 610; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,092",210,31,18,0,65,0,0,0,817,258,195,0
    Margin of Error,±126,±66,±24,±21,±12,±60,±12,±12,±12,±113,±98,±91,±12
Census Tract 611; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,739,222,60,4,0,9,0,0,0,508,157,59,29
    Margin of Error,±133,±73,±44,±6,±12,±12,±12,±12,±12,±133,±63,±38,±24
Census Tract 612; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,867,269,83,15,0,77,11,0,0,521,180,103,10
    Margin of Error,±92,±68,±37,±18,±12,±41,±13,±12,±12,±89,±64,±61,±11
Census Tract 615; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,901,199,51,34,7,108,55,20,0,594,124,71,0
    Margin of Error,±96,±51,±33,±30,±10,±42,±29,±19,±12,±101,±48,±38,±12
Census Tract 618; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,745,121,42,31,0,30,0,0,0,594,285,98,6
    Margin of Error,±131,±33,±25,±26,±12,±18,±12,±12,±12,±129,±127,±51,±9
Census Tract 619.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,643",421,116,102,0,181,23,23,0,"2,041",881,281,138
    Margin of Error,±330,±182,±115,±112,±12,±87,±37,±37,±12,±346,±360,±179,±106
Census Tract 619.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,899",673,378,247,0,261,69,17,16,"1,965",785,431,17
    Margin of Error,±313,±208,±183,±214,±12,±113,±59,±29,±26,±266,±202,±164,±28
Census Tract 620; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,753",341,86,11,0,58,17,12,0,"1,354",484,303,76
    Margin of Error,±156,±109,±51,±17,±12,±41,±20,±18,±12,±175,±143,±113,±67
Census Tract 621; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,091",448,109,46,0,68,7,7,0,"1,575",621,307,0
    Margin of Error,±203,±136,±94,±69,±12,±83,±20,±20,±12,±196,±152,±132,±12
Census Tract 622; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,381",617,52,12,0,141,17,17,0,623,191,124,0
    Margin of Error,±162,±151,±37,±15,±12,±62,±18,±18,±12,±110,±78,±84,±12
Census Tract 623; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,586,286,30,25,0,60,0,0,0,240,54,21,7
    Margin of Error,±79,±64,±29,±28,±12,±25,±12,±12,±12,±50,±32,±24,±12
Census Tract 624; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,772,338,43,21,0,113,39,17,0,321,132,54,24
    Margin of Error,±82,±67,±32,±20,±12,±56,±32,±18,±12,±76,±65,±37,±31
Census Tract 625; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,681,380,54,36,0,77,10,5,0,224,97,46,0
    Margin of Error,±90,±65,±26,±21,±12,±64,±11,±7,±12,±62,±51,±24,±12
Census Tract 626; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,930,541,108,32,0,88,10,7,0,301,127,78,0
    Margin of Error,±100,±102,±42,±21,±12,±43,±12,±12,±12,±76,±55,±49,±12
Census Tract 627; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,400",495,105,13,22,78,7,0,0,827,338,119,37
    Margin of Error,±147,±118,±69,±20,±26,±39,±15,±12,±12,±151,±98,±87,±44
Census Tract 628; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,553",456,90,78,0,262,49,6,0,835,203,85,0
    Margin of Error,±151,±153,±55,±49,±12,±76,±54,±10,±12,±138,±72,±55,±12
Census Tract 629; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,964",783,153,8,0,155,0,0,0,"1,026",234,157,15
    Margin of Error,±147,±148,±105,±14,±12,±64,±12,±12,±12,±170,±115,±100,±23
Census Tract 630; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,784",447,92,49,0,124,0,0,0,"1,213",501,351,0
    Margin of Error,±264,±112,±60,±39,±12,±54,±12,±12,±12,±285,±211,±207,±12
Census Tract 631; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,407",282,48,28,10,103,0,0,0,"1,022",300,160,0
    Margin of Error,±140,±76,±32,±25,±16,±46,±12,±12,±12,±152,±93,±74,±12
Census Tract 632; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"4,590",928,210,46,0,514,204,35,0,"3,148","1,649",360,0
    Margin of Error,±501,±264,±150,±57,±17,±244,±179,±58,±17,±557,±554,±192,±17
Census Tract 633.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,021",221,14,14,0,101,21,12,0,"1,699",631,201,116
    Margin of Error,±250,±86,±21,±21,±12,±61,±23,±20,±12,±262,±160,±96,±93
Census Tract 633.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,856",587,174,80,0,316,44,22,0,"1,953",604,279,38
    Margin of Error,±258,±166,±117,±69,±12,±119,±48,±35,±12,±313,±158,±110,±63
Census Tract 633.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,919,264,59,18,0,225,52,33,30,430,218,205,29
    Margin of Error,±66,±63,±34,±18,±12,±54,±33,±28,±25,±74,±56,±53,±36
Census Tract 634; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,348",258,44,0,0,35,0,0,0,"1,055",335,151,0
    Margin of Error,±151,±77,±31,±12,±12,±31,±12,±12,±12,±175,±128,±86,±12
Census Tract 701.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,656",475,189,141,0,551,173,157,0,"1,630",525,140,9
    Margin of Error,±258,±182,±125,±111,±12,±140,±98,±93,±12,±226,±217,±82,±16
Census Tract 701.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,914",437,161,92,0,301,28,14,0,"1,176",431,221,14
    Margin of Error,±259,±130,±101,±73,±12,±163,±28,±21,±12,±238,±199,±177,±21
Census Tract 701.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,133",15,0,0,0,34,0,0,0,"1,084",390,169,12
    Margin of Error,±113,±24,±12,±12,±12,±38,±12,±12,±12,±113,±109,±68,±18
Census Tract 702; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,102",509,152,79,0,161,85,48,0,"1,432",490,182,13
    Margin of Error,±277,±184,±119,±75,±12,±97,±82,±66,±12,±319,±186,±114,±23
Census Tract 703; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,663",506,43,11,28,176,49,43,0,981,351,130,35
    Margin of Error,±170,±143,±43,±17,±42,±63,±33,±35,±12,±142,±113,±93,±43
Census Tract 704; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,469",573,58,29,0,122,9,0,0,774,336,132,10
    Margin of Error,±163,±108,±36,±24,±12,±67,±13,±12,±12,±174,±145,±78,±15
Census Tract 705; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,318",708,123,39,0,41,0,0,0,569,261,196,10
    Margin of Error,±130,±127,±66,±27,±12,±37,±12,±12,±12,±127,±106,±96,±16
Census Tract 706; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,291",590,84,20,0,198,36,36,0,503,124,62,0
    Margin of Error,±188,±96,±46,±22,±12,±78,±31,±31,±12,±176,±68,±47,±12
