GEOID,Total,Total Owned Units with a Mortgage,Total Owned Units with a Mortgage (30-49%),Total Owned Units with a Mortgage (50%+),Total Owned Units with a Mortgage (Not Calculated),Total Owned Units without a Mortgage,Total Owned Units without a Mortgage (30-49%),Total Owned Units without a Mortgage (50%+),Total Owned Units without a Mortgage (Not Calculated),Total Rented,Total Rented (30-49%),Total Rented (50%+),Total Rented (Not Calculated)
60706,9292,3177,1160,549,5,3726,603,224,40,2389,957,503,266
60707,15486,6367,2059,990,8,3594,703,266,166,5525,2564,1270,267
60712,4593,2034,913,498,0,1844,325,143,30,715,371,321,100
60714,11328,4828,1470,627,0,3861,735,429,35,2639,1234,841,134
60803,9201,4213,1119,535,38,2023,332,209,16,2965,1324,793,329
60804,25031,7959,2649,1051,41,5708,785,262,108,11364,4587,1918,605
60805,7328,3878,1236,507,13,2231,318,222,9,1219,505,293,106
60827,9372,2500,1099,472,45,1368,367,177,64,5504,2646,1648,722
60901,13006,4572,1189,492,61,3304,440,245,46,5130,2648,1528,410
60910,209,83,9,5,0,83,26,17,0,43,18,4,6
60911,480,199,19,9,0,188,25,16,0,93,27,5,19
60912,288,81,28,24,0,147,42,26,2,60,1,0,25
60913,705,251,81,36,1,369,32,14,0,85,2,2,36
60914,9975,4484,742,378,17,2609,349,206,0,2882,1053,322,220
60915,4147,1557,391,93,0,1054,139,60,0,1536,675,266,46
60917,175,116,42,31,0,55,12,9,0,4,0,0,1
60918,300,99,35,10,0,155,13,2,0,46,20,15,9
60919,199,63,9,5,0,90,9,0,5,46,11,7,20
60920,58,31,0,0,0,15,0,0,2,12,3,0,3
60921,635,200,43,25,0,246,13,6,2,189,70,19,14
60922,952,373,60,6,0,323,82,76,2,256,79,52,16
60924,695,294,71,32,0,246,2,0,13,155,66,33,20
60926,26,19,3,0,0,6,0,0,0,1,1,1,0
60927,891,382,59,9,0,330,22,14,8,179,81,57,13
60928,236,96,10,8,0,99,16,3,3,41,16,6,0
60929,264,97,13,6,0,109,10,3,1,58,10,5,5
60930,297,154,18,6,16,64,1,0,0,79,18,15,21
60931,176,73,40,30,0,85,0,0,5,18,7,2,4
60932,132,104,8,8,0,20,0,0,0,8,0,0,8
60933,112,39,5,0,0,50,15,8,0,23,2,0,3
60934,91,50,16,12,0,21,3,3,0,20,0,0,15
60935,413,267,21,9,0,116,26,12,0,30,0,0,10
60936,1884,619,109,42,0,723,110,68,6,542,298,201,34
60938,809,296,30,20,0,370,43,24,0,143,37,7,37
60939,0,0,0,0,0,0,0,0,0,0,0,0,0
60940,1150,600,132,47,0,349,39,35,30,201,82,55,32
60941,614,261,25,11,0,194,22,13,3,159,73,63,17
60942,2458,784,179,47,0,941,54,25,0,733,290,245,83
60945,87,34,0,0,0,43,4,1,1,10,4,4,0
60946,166,64,5,0,0,68,2,0,0,34,3,3,0
60948,747,373,83,67,1,351,56,30,0,23,0,0,4
