GEO_ID,ZCTA%5,NAME,Total,B25140_001M,Total Owned Units with a Mortgage,B25140_002M,Total Owned Units with a Mortgage (30-49%),B25140_003M,Total Owned Units with a Mortgage (50%+),B25140_004M,Total Owned Units with a Mortgage (Not Calculated),B25140_005M,Total Owned Units without a Mortgage,B25140_006M,Total Owned Units without a Mortgage (30-49%),B25140_007M,Total Owned Units without a Mortgage (50%+),B25140_008M,Total Owned Units without a Mortgage (Not Calculated),B25140_009M,Total Rented,B25140_010M,Total Rented (30-49%),B25140_011M,Total Rented (50%+),B25140_012M,Total Rented (Not Calculated),B25140_013M
860Z200US60187,60187,ZCTA5 60187,9987,366,5026,361,1176,224,408,133,10,16,1963,213,353,128,190,98,0,23,2998,368,1149,236,490,184,208,121
860Z200US60188,60188,ZCTA5 60188,15163,510,7223,521,1892,385,694,320,14,18,3369,361,329,107,151,81,33,42,4571,404,1661,304,640,174,214,91
860Z200US60189,60189,ZCTA5 60189,12054,396,6375,432,1451,238,587,152,0,26,3110,317,485,149,282,124,0,26,2569,301,886,200,475,147,223,119
860Z200US60190,60190,ZCTA5 60190,4529,233,2693,208,473,99,140,61,11,18,1488,273,99,58,32,29,0,19,348,150,141,77,70,51,41,65
860Z200US60191,60191,ZCTA5 60191,5328,269,2580,306,714,252,249,118,0,19,1522,238,319,148,246,133,0,19,1226,256,480,146,262,122,37,35
860Z200US60192,60192,ZCTA5 60192,5933,346,3655,356,682,163,284,108,0,19,1699,271,161,80,36,35,0,19,579,169,213,109,119,85,89,51
860Z200US60193,60193,ZCTA5 60193,15709,788,7659,619,2160,370,1099,315,77,62,4091,435,545,159,266,104,8,12,3959,524,1616,352,591,253,272,169
860Z200US60194,60194,ZCTA5 60194,7884,468,3988,376,959,215,360,169,9,15,1713,256,292,106,155,76,24,28,2183,285,979,183,448,139,124,90
860Z200US60195,60195,ZCTA5 60195,2335,290,516,112,78,51,9,10,0,12,205,90,27,26,6,9,0,12,1614,302,587,301,212,140,44,50
860Z200US60201,60201,ZCTA5 60201,17363,572,5671,385,1457,212,645,151,61,48,3862,471,647,163,371,152,26,25,7830,551,4031,439,2570,404,864,264
